X,Y
0,4
1,7
2,3
3,6
4,5
5,4
6,5
7,8
8,3
9,4
10,3
11,2
12,4
13,3
14,2
15,4
16,4
17,2
18,3
19,3
20,2
21,4
22,4
23,2
24,4
25,4
26,2
27,3
28,3
29,2
30,4
31,4
32,2
33,4
34,2
35,2
36,4
37,2
38,2
39,3
40,2
41,2
42,3
43,6
44,2
45,4
46,3
47,2
48,3
49,2
50,1
51,4
52,2
53,2
54,3
55,3
56,2
57,4
58,2
59,1
60,4
61,3
62,2
63,4
64,2
65,2
66,3
67,2
68,1
69,3
70,3
71,4
72,5
73,2
74,1
75,4
76,2
77,4
78,5
79,2
80,2
81,3
82,2
83,5
84,5
85,3
86,3
87,4
88,2
89,2
90,4
91,2
92,2
93,4
94,2
95,2
96,4
97,3
98,2
99,4
100,3
101,5
102,4
103,5
104,2
105,4
106,3
107,4
108,4
109,3
110,2
111,5
112,5
113,2
114,4
115,4
116,5
117,4
118,3
119,4
120,5
121,5
122,5
123,5
124,2
125,3
126,4
127,2
128,5
129,5
130,5
131,2
132,4
133,4
134,2
135,4
136,3
137,3
138,4
139,2
140,2
141,4
142,6
143,2
144,3
145,4
146,4
147,4
148,2
149,3
150,4
151,3
152,5
153,5
154,4
155,2
156,3
157,2
158,2
159,4
160,5
161,4
162,4
163,6
164,4
165,5
166,3
167,2
168,3
169,4
170,3
171,4
172,4
173,4
174,4
175,5
176,5
177,5
178,3
179,2
180,3
181,6
182,5
183,5
184,3
185,4
186,3
187,6
188,2
189,3
190,6
191,4
192,5
193,5
194,5
195,5
196,6
197,2
198,4
199,6
200,3
201,4
202,5
203,3
204,4
205,5
206,4
207,5
208,2
209,5
210,5
211,4
212,4
213,5
214,4
215,2
216,4
217,4
218,3
219,4
220,5
221,2
222,4
223,3
224,7
225,5
226,2
227,4
228,5
229,5
230,4
231,4
232,3
233,4
234,5
235,6
236,5
237,5
238,6
239,3
240,4
241,3
242,2
243,4
244,4
245,3
246,4
247,5
248,5
249,4
250,5
251,3
252,4
253,5
254,4
255,4
256,6
257,2
258,3
259,4
260,2
261,3
262,3
263,4
264,4
265,5
266,3
267,4
268,5
269,4
270,4
271,3
272,2
273,3
274,4
275,2
276,3
277,5
278,5
279,4
280,5
281,4
282,4
283,3
284,4
285,5
286,3
287,4
288,4
289,2
290,2
291,4
292,4
293,2
294,4
295,2
296,2
297,4
298,6
299,1
