X,Y
0,7
1,12
2,5
3,12
4,4
5,12
6,3
7,11
8,6
9,6
10,5
11,5
12,5
13,8
14,3
15,7
16,3
17,3
18,2
19,5
20,2
21,4
22,3
23,6
24,3
25,3
26,3
27,3
28,2
29,3
30,2
31,3
32,2
33,3
34,2
35,3
36,3
37,3
38,2
39,3
40,3
41,3
42,5
43,5
44,4
45,5
46,3
47,6
48,5
49,6
50,3
51,3
52,3
53,3
54,5
55,5
56,4
57,3
58,3
59,4
60,3
61,4
62,3
63,3
64,4
65,5
66,3
67,3
68,3
69,4
70,3
71,3
72,3
73,2
74,2
75,4
76,2
77,4
78,2
79,4
80,3
81,4
82,3
83,2
84,4
85,3
86,3
87,4
88,3
89,3
90,3
91,3
92,2
93,3
94,2
95,3
96,3
97,3
98,2
99,3
100,3
101,4
102,3
103,3
104,3
105,3
106,2
107,5
108,3
109,4
110,3
111,4
112,3
113,6
114,4
115,6
116,3
117,4
118,3
119,5
120,3
121,4
122,4
123,4
124,3
125,3
126,3
127,4
128,3
129,3
130,3
131,4
132,3
133,4
134,3
135,3
136,3
137,4
138,3
139,5
140,3
141,4
142,4
143,4
144,3
145,6
146,4
147,4
148,3
149,4
150,4
151,4
152,3
153,5
154,3
155,4
156,3
157,3
158,3
159,3
160,2
161,3
162,3
163,4
164,4
165,5
166,3
167,5
168,3
169,3
170,3
171,4
172,2
173,5
174,5
175,3
176,6
177,3
178,3
179,5
180,2
181,5
182,3
183,3
184,3
185,4
186,3
187,4
188,2
189,3
190,3
191,3
192,3
193,3
194,3
195,3
196,3
197,4
198,4
199,6
200,3
201,4
202,2
203,4
204,3
205,4
206,5
207,3
208,2
209,3
210,2
211,3
212,3
213,4
214,3
215,3
216,3
217,3
218,2
219,5
220,3
221,4
222,3
223,4
224,3
225,6
226,4
227,6
228,3
229,4
230,3
231,5
232,3
233,4
234,4
235,4
236,3
237,3
238,3
239,4
240,3
241,3
242,3
243,4
244,3
245,4
246,3
247,3
248,3
249,4
250,3
251,5
252,3
253,4
254,4
255,4
256,3
257,6
258,4
259,4
260,3
261,4
262,4
263,4
264,3
265,5
266,3
267,4
268,3
269,3
270,3
271,3
272,2
273,3
274,3
275,4
276,4
277,5
278,3
279,5
280,3
281,3
282,3
283,4
284,2
285,5
286,5
287,3
288,6
289,3
290,3
291,5
292,2
293,5
294,3
295,3
296,3
297,4
298,2
299,5
